,order 0,order 1,order 2,order 3,order 4,order 5,order 6,order 7,order 8,order 9,order 10,order 11,order 12,order 13,order 14,order 15,order 16,order 17,order 18,order 19,order 20,order 21,order 22,order 23,order 24,order 25,order 26,order 27,order 28,order 29,order 30,order 31,order 32,order 33,order 34,order 35,order 36,order 37,order 38
1,P2ry12,Gnai1,Pik3ca,Foxo3,Klf2,Nqo1,Vkorc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P2ry12,Gnai1,Pla2g4a,Cyp2e1,Aldh3a1,Carns1,Hdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P2ry12,Gnai1,Pla2g4a,Cyp2e1,Gm3776,Ggt1,Chac1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P2ry12,Gnai1,Pla2g4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P2ry12,Gnai1,Adcy4,Entpd1,Dtymk,Tyms,Mthfd2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P2ry12,Gnai1,Adcy4,Entpd1,Dtymk,Tyms,Mthfd2,Mthfsl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P2ry12,Gnai1,Adcy4,Entpd1,Dtymk,Tyms,Mthfd2,Mthfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P2ry12,Gnai1,Adcy4,Entpd1,Dtymk,Tyms,Mthfd2,Mthfd1l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P2ry12,Gnai1,Mapk1,Mmp9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,P2ry12,Gnai1,Pik3ca,Mtor,Telo2,Atr,Fancg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P2ry12,Gnai1,Mapk1,Mmp9,Sdc1,Hsp90ab1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P2ry12,Gnai1,Mapk1,Mmp9,Sdc1,Hsp90aa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P2ry12,Gnai1,Mapk1,Mmp9,Sdc1,Hsp90b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P2ry12,Gnai1,Pik3ca,Foxo3,Klf2,Plat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P2ry12,Gnai1,Mapk11,Cebpb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P2ry12,Gnai1,Mapk1,Mmp9,Sdc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P2ry12,Gnai1,Pla2g4a,Arachidonate,5(S)-HPETE,Leukotriene A4,Leukotriene B4,Ltb4r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P2ry12,Gnai1,Mapk1,Stat1,Zfp607a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
