group,symbol
BS_3_GO_down,Fn1
BS_3_GO_down,Serpinc1
BS_3_GO_down,Tyro3
BS_3_GO_down,F7
BS_3_GO_down,F13a1
BS_3_GO_down,Prr33
BS_3_GO_down,Ccr2
BS_3_GO_down,Eppk1
BS_3_GO_down,H2-Aa
BS_3_GO_down,H2-Eb1
BS_3_GO_down,H2-Ab1
BS_3_GO_down,Cd244a
BS_3_GO_down,Emilin2
BS_3_GO_down,Itga4
BS_3_GO_down,Bpi
BS_3_GO_down,Rab4a
BS_3_GO_down,Ccl7
BS_3_GO_down,Tnxb
BS_14_GO_down,Doc2b
BS_14_GO_down,Rims4
BS_14_GO_down,Syt17
BS_14_GO_down,Wnt9a
BS_14_GO_down,Ihh
BS_14_GO_down,Kif7
BS_14_GO_down,Hhip
BS_14_GO_down,Glra3
BS_14_GO_down,Nalcn
BS_14_GO_down,Ptn
BS_14_GO_down,Piezo2
BS_14_GO_down,Kcnk3
BS_14_GO_down,Cacng3
BS_14_GO_down,Efna3
BS_14_GO_down,Bmp10
BS_14_GO_down,Synpo2l
BS_14_GO_down,Dcst1
BS_14_GO_down,Ifitm7
BS_14_GO_down,Pgr
BS_14_GO_down,Xirp2
BS_14_GO_down,Krt10
BS_14_GO_down,Per3
BS_14_GO_down,Mtnr1a
BS_14_GO_down,Vgf
BS_14_GO_down,Mab21l2
BS_14_GO_down,Lama2
BS_14_GO_down,Epb41l4a
BS_14_GO_down,Sstr3
BS_14_GO_down,Cdh4
BS_14_GO_down,Trabd2b
BS_14_GO_down,Prnd
CTX_3_GO_down,Elane
CTX_3_GO_down,C3
CTX_3_GO_down,Fcnb
CTX_3_GO_down,Prtn3
CTX_3_GO_down,Mpo
CTX_3_GO_down,Camk2b
CTX_3_GO_down,Npr1
CTX_3_GO_down,Ocln
CTX_3_GO_down,4930544G11Rik
CTX_3_GO_down,Xlr3a
CTX_3_GO_down,Rarg
CTX_14_GO_down,Igf2
CTX_14_GO_down,Kl
CTX_14_GO_down,Enpp2
CTX_14_GO_down,Ttr
CTX_14_GO_down,H2bc6
PVN_3_GO_down,Vkorc1
PVN_3_GO_down,Plat
PVN_3_GO_down,Cryz
PVN_3_GO_down,Pla2g4b
PVN_3_GO_down,Btbd10
PVN_3_GO_down,Fancg
PVN_3_GO_down,Lars2
PVN_3_GO_down,Ifi207
PVN_14_GO_down,Olfm4
PVN_14_GO_down,Enpp2
PVN_14_GO_down,Clu
PVN_14_GO_down,Dnph1
PVN_14_GO_down,Fastkd3
PVN_14_GO_down,Hcar2
PVN_14_GO_down,Nnt
PVN_14_GO_down,Sgsm3
PVN_14_GO_down,Ttr
PVN_14_GO_down,Fancg
PVN_14_GO_down,Lancl1
BS_3_GO_up,Ddit4
BS_3_GO_up,Cox20
BS_3_GO_up,Zc3h11a
BS_14_GO_up,Lmnb1
BS_14_GO_up,Eif4ebp1
BS_14_GO_up,Agtrap
BS_14_GO_up,Serpinb1a
BS_14_GO_up,Oasl2
BS_14_GO_up,Ttr
CTX_3_GO_up,Adcy4
CTX_3_GO_up,Nphp4
CTX_3_GO_up,Ephx3
CTX_3_GO_up,Rsc1a1
CTX_3_GO_up,Tsfm
CTX_3_GO_up,Bcar3
CTX_3_GO_up,Zfp784
CTX_14_GO_up,Vegfa
CTX_14_GO_up,Atf5
CTX_14_GO_up,Numbl
CTX_14_GO_up,Slc1a5
CTX_14_GO_up,Slc1a4
CTX_14_GO_up,Pygm
CTX_14_GO_up,Duox2
CTX_14_GO_up,Ppp1r3f
CTX_14_GO_up,Cdkn2d
CTX_14_GO_up,Adcy4
PVN_3_GO_up,Adam8
PVN_3_GO_up,Cebpb
PVN_3_GO_up,Pilrb1
PVN_3_GO_up,Cd177
PVN_3_GO_up,Anxa1
PVN_3_GO_up,Mmp8
PVN_3_GO_up,Klf5
PVN_3_GO_up,Mmp9
PVN_3_GO_up,Lcn2
PVN_3_GO_up,Lrg1
PVN_3_GO_up,Ltf
PVN_3_GO_up,Ifitm6
PVN_3_GO_up,Chac1
PVN_3_GO_up,Tysnd1
PVN_3_GO_up,Dusp18
PVN_3_GO_up,Hdc
PVN_3_GO_up,Ica1
PVN_14_GO_up,Klf5
PVN_14_GO_up,Cybb
PVN_14_GO_up,Mmp9
PVN_14_GO_up,C3
PVN_14_GO_up,Anxa1
PVN_14_GO_up,Ngp
PVN_14_GO_up,Lrg1
PVN_14_GO_up,Camp
PVN_14_GO_up,Pglyrp1
PVN_14_GO_up,Ltf
PVN_14_GO_up,Trem3
PVN_14_GO_up,Cd44
PVN_14_GO_up,Adam8
PVN_14_GO_up,S100a9
PVN_14_GO_up,Retnlg
PVN_14_GO_up,Cd177
PVN_14_GO_up,Mmp8
PVN_14_GO_up,Nfkbil1
PVN_14_GO_up,Ifitm6
PVN_14_GO_up,Hpse
PVN_14_GO_up,Gp2
PVN_14_GO_up,Sik1
PVN_14_GO_up,Mylk3
PVN_14_GO_up,Lcn2
PVN_14_GO_up,Acpp
PVN_14_GO_up,Gsr
