ENSEMBL,ENTREZID,SYMBOL
ENSMUSG00000063142,16531,Kcnma1
ENSMUSG00000002908,84036,Kcnn1
ENSMUSG00000054477,140492,Kcnn2
ENSMUSG00000000794,140493,Kcnn3
ENSMUSG00000054342,16534,Kcnn4
ENSMUSG00000058740,227632,Kcnt1
ENSMUSG00000052726,240776,Kcnt2
ENSMUSG00000031576,16532,Kcnu1
ENSMUSG00000041248,56379,Kcnj1
ENSMUSG00000041695,16518,Kcnj2
ENSMUSG00000042529,16515,Kcnj12
ENSMUSG00000044216,16520,Kcnj4
ENSMUSG00000058743,211480,Kcnj14
ENSMUSG00000026824,16519,Kcnj3
ENSMUSG00000043301,16522,Kcnj6
ENSMUSG00000038026,16524,Kcnj9
ENSMUSG00000032034,16521,Kcnj5
ENSMUSG00000044708,16513,Kcnj10
ENSMUSG00000062609,16516,Kcnj15
ENSMUSG00000051497,16517,Kcnj16
ENSMUSG00000030247,16523,Kcnj8
ENSMUSG00000096146,16514,Kcnj11
ENSMUSG00000079436,100040591,Kcnj13
ENSMUSG00000033998,16525,Kcnk1
ENSMUSG00000037624,16526,Kcnk2
ENSMUSG00000049265,16527,Kcnk3
ENSMUSG00000024957,16528,Kcnk4
ENSMUSG00000023243,16529,Kcnk5
ENSMUSG00000046410,52150,Kcnk6
ENSMUSG00000024936,16530,Kcnk7
ENSMUSG00000036760,223604,Kcnk9
ENSMUSG00000033854,72258,Kcnk10
ENSMUSG00000050138,210741,Kcnk12
ENSMUSG00000045404,217826,Kcnk13
ENSMUSG00000035238,241769,Kcnk15
ENSMUSG00000023387,74571,Kcnk16
ENSMUSG00000040901,332396,Kcnk18
ENSMUSG00000047976,16485,Kcna1
ENSMUSG00000040724,16490,Kcna2
ENSMUSG00000047959,16491,Kcna3
ENSMUSG00000042604,16492,Kcna4
ENSMUSG00000045534,16493,Kcna5
ENSMUSG00000038077,16494,Kcna6
ENSMUSG00000038201,16495,Kcna7
ENSMUSG00000042861,242151,Kcna10
ENSMUSG00000050556,16500,Kcnb1
ENSMUSG00000030525,11441,Chrna7
ENSMUSG00000058975,16502,Kcnc1
ENSMUSG00000035681,268345,Kcnc2
ENSMUSG00000062785,16504,Kcnc3
ENSMUSG00000027895,99738,Kcnc4
ENSMUSG00000009731,16506,Kcnd1
ENSMUSG00000060882,16508,Kcnd2
ENSMUSG00000040896,56543,Kcnd3
ENSMUSG00000051726,382571,Kcnf1
ENSMUSG00000074575,241794,Kcng1
ENSMUSG00000059852,240444,Kcng2
ENSMUSG00000045053,225030,Kcng3
ENSMUSG00000045246,66733,Kcng4
ENSMUSG00000009545,16535,Kcnq1
ENSMUSG00000016346,16536,Kcnq2
ENSMUSG00000056258,110862,Kcnq3
ENSMUSG00000028631,60613,Kcnq4
ENSMUSG00000028033,226922,Kcnq5
ENSMUSG00000022342,67498,Kcnv1
ENSMUSG00000047298,240595,Kcnv2
ENSMUSG00000040164,16538,Kcns1
ENSMUSG00000050963,16539,Kcns2
ENSMUSG00000043673,238076,Kcns3
ENSMUSG00000058248,16510,Kcnh1
ENSMUSG00000034402,238271,Kcnh5
ENSMUSG00000038319,16511,Kcnh2
ENSMUSG00000001901,192775,Kcnh6
ENSMUSG00000059742,170738,Kcnh7
ENSMUSG00000035580,211468,Kcnh8
ENSMUSG00000037579,16512,Kcnh3
ENSMUSG00000035355,380728,Kcnh4
